24-06-24 00:03:42.703 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082: registering service... 
24-06-24 00:03:42.703 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"] 
24-06-24 00:03:42.766 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/' 
24-06-24 00:03:42.769 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8082 
24-06-24 00:03:42.786 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082 - registration status: 204 
24-06-24 00:03:43.789 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname 
24-06-24 00:03:43.810 [main] INFO  c.p.u.H.HotalServicesApplication - Started HotalServicesApplication in 28.389 seconds (process running for 29.816) 
24-06-24 00:05:15.115 [http-nio-8082-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
24-06-24 00:05:15.116 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
24-06-24 00:05:15.118 [http-nio-8082-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms 
24-06-24 00:05:15.246 [http-nio-8082-exec-1] INFO  c.p.u.H.controller.HotalController - This is logging information 
24-06-24 00:08:42.193 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration 
24-06-24 00:08:47.384 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application HOTALSERVICES with eureka with status DOWN 
24-06-24 00:08:47.384 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1719167927384, current=DOWN, previous=UP] 
24-06-24 00:08:47.386 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082: registering service... 
24-06-24 00:08:47.417 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082 - registration status: 204 
24-06-24 00:08:47.534 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
24-06-24 00:08:47.575 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
24-06-24 00:08:47.644 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
24-06-24 00:08:47.646 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ... 
24-06-24 00:08:50.657 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ... 
24-06-24 00:08:50.691 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_HOTALSERVICES/localhost:HotalServices:8082 - deregister  status: 200 
24-06-24 00:08:50.712 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient 
